address,top_rank,top_role,vote,chain,first_gas_funder_in_window,first_gas_timestamp_utc,first_gas_tx_hash,first_gas_value,all_incoming_native_count,all_incoming_native_total
0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,30,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x240d2243d90e8968d0c8e807202bc8a2de0dc53c,31,staker,YES,ethereum,,,,0.0,0,0.0
0x240d2243d90e8968d0c8e807202bc8a2de0dc53c,31,staker,YES,polygon,,,,0.0,0,0.0
0xe42088fe251e3173e680f4b4a7f3942e5b8b021a,32,staker,NO,ethereum,,,,0.0,0,0.0
0xe42088fe251e3173e680f4b4a7f3942e5b8b021a,32,staker,NO,polygon,,,,0.0,0,0.0
0x203f9674be9782bc4b194625ee9dc6800e65b2d8,32,delegate_hot_wallet,NO,ethereum,0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,2026-05-03T21:49:23.000Z,0x8aababab478fcb1b9fdf5483cb99c89e9235df88347c1c58bcdcff13d7b25d32,0.0582634522,1,0.0582634522
0x203f9674be9782bc4b194625ee9dc6800e65b2d8,32,delegate_hot_wallet,NO,polygon,,,,0.0,0,0.0
0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,33,staker,YES,ethereum,,,,0.0,0,0.0
0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,33,staker,YES,polygon,,,,0.0,0,0.0
0xb6e74e6fd559f9207679d128dddbb35b9042a166,33,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0xb6e74e6fd559f9207679d128dddbb35b9042a166,33,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xc12fa1c74c5d97c8eae9c16ab9df28837d9d39ee,34,staker,YES,ethereum,,,,0.0,0,0.0
0xc12fa1c74c5d97c8eae9c16ab9df28837d9d39ee,34,staker,YES,polygon,,,,0.0,0,0.0
0xfa93e76bb7de1071d6f9c0f77af883c2a944b2d1,34,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0xfa93e76bb7de1071d6f9c0f77af883c2a944b2d1,34,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x92d76b5d5ee767a4a90719a9a910936dc4006fc6,35,staker,YES,ethereum,,,,0.0,0,0.0
0x92d76b5d5ee767a4a90719a9a910936dc4006fc6,35,staker,YES,polygon,,,,0.0,0,0.0
0xfcfa494c13409172109f161c428499b39682ffa4,35,delegate_hot_wallet,YES,ethereum,0xc066ac5d385419b1a8c43a0e146fa439837a8b8c,2026-04-21T08:35:59.000Z,0xbfe87d6120a553b1441f847c62d97391d4ff5bb22041a81129956eb81ae82754,0.002596547146175694,2,0.00458106754273075
0xfcfa494c13409172109f161c428499b39682ffa4,35,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xcd16c08f73cd87558304ce2209fca69ac5885e69,36,staker,YES,ethereum,0xd20549d2a869b1818790da9dbc5803ce062b6bdd,2026-04-10T09:03:59.000Z,0xf6211b02026a3ccf937bdfd7e1856650efee6e174dea58ea261be381be3a4690,0.010114822807738176,33,0.02897202567419705
0xcd16c08f73cd87558304ce2209fca69ac5885e69,36,staker,YES,polygon,0xc60d99766d22727f626d758a8b1c021370f436ae,2026-04-01T13:44:07.000Z,0xb0a0cd7e9b33a51eaccf371179aad0b75323e3b1be193d1f710d8d781b61f770,1e-09,39,139.86996004108795
0xb09080c5ac5adc483208dfbe22f8684eec907c17,36,delegate_hot_wallet,YES,ethereum,0xcd16c08f73cd87558304ce2209fca69ac5885e69,2026-04-09T09:30:35.000Z,0xb5a143e660a0951252d8d25eb1bff0b7c93023f09506354007176707dc4d3dd8,0.06,6,0.30000000000000004
0xb09080c5ac5adc483208dfbe22f8684eec907c17,36,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0x9b8f31d4a132cfd3425eef49076e56e60dc1ed2f,37,staker,OTHER/YES,ethereum,0xf1781e332587902731009aa40f65d7447d84932c,2026-04-24T20:57:47.000Z,0xf0588493f4dcda77a55b4637c1c1cec3ccce7bd8a6885b4b71eae568eefd3b92,0.0,4,3.0000000000000004e-09
0x9b8f31d4a132cfd3425eef49076e56e60dc1ed2f,37,staker,OTHER/YES,polygon,,,,0.0,0,0.0
0xf39695c39eacdf81d146ce6667e81476ea9b3fa7,37,delegate_hot_wallet,OTHER/YES,ethereum,,,,0.0,0,0.0
0xf39695c39eacdf81d146ce6667e81476ea9b3fa7,37,delegate_hot_wallet,OTHER/YES,polygon,,,,0.0,0,0.0
0x8b64673c9a482913a6e2c1298637532947cd96ee,38,staker,YES,ethereum,0x121f6f555a3de163411e9dfbb8bab2588770eac9,2026-04-08T17:41:47.000Z,0x04c98b1f5dbe2e04c9cb91db164a881d6c2cc4be434d961266ab138e13fd9fea,1e-09,108,2.0699999999999996e-07
0x8b64673c9a482913a6e2c1298637532947cd96ee,38,staker,YES,polygon,,,,0.0,0,0.0
0x9bc114cbdf47021f15416e720bc71b5341120e87,38,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0x9bc114cbdf47021f15416e720bc71b5341120e87,38,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xf0180d4561dbaeaac3b96b7491bfafc94cea4069,39,staker,NO/YES,ethereum,,,,0.0,0,0.0
0xf0180d4561dbaeaac3b96b7491bfafc94cea4069,39,staker,NO/YES,polygon,,,,0.0,0,0.0
0xd48010de315e10d071853b1466f0c273e766fa07,39,delegate_hot_wallet,NO/YES,ethereum,0x10776a5f58442a9d46bb678990963ca34a08b071,2026-04-18T22:10:59.000Z,0xcfbbedd3ec69361831916242301c3e75dcbbba9358fc714b7e12da6e48b09556,0.001326935965708126,13,0.03318936485668728
0xd48010de315e10d071853b1466f0c273e766fa07,39,delegate_hot_wallet,NO/YES,polygon,,,,0.0,0,0.0
0x7baa3b328603535006d76d7b80af7260fd8a946a,40,staker,YES,ethereum,0xa9624879bb4220261c5b7511d65298251c6814e7,2026-04-10T16:05:23.000Z,0xdb9b2bb1bcf9b1e35493b09d95640e2c3c1a0c995a9945003cd1b65588777adb,1e-09,1,1e-09
0x7baa3b328603535006d76d7b80af7260fd8a946a,40,staker,YES,polygon,,,,0.0,0,0.0
