rank,staker_wallet,delegate_hot_wallet,ens,vote,voting_power_uma,pct_of_round,reveal_time_utc,shared_delegate_staker_count,eth_uma_inbound_in_window,eth_uma_outbound_in_window,all_inbound_transfer_count,all_outbound_transfer_count,polygon_known_contact_count,one_hop_conflict_match_count,first_gas_funders_in_window,lead_score,review_tier,score_reasons
37,0x9b8f31d4a132cfd3425eef49076e56e60dc1ed2f,0xf39695c39eacdf81d146ce6667e81476ea9b3fa7,,OTHER/YES,100718.0,0.54,2026-06-17T03:39:23,1,8120.927965968789,8120.927965968788,10,89,0,0,0xf1781e332587902731009aa40f65d7447d84932c,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
38,0x8b64673c9a482913a6e2c1298637532947cd96ee,0x9bc114cbdf47021f15416e720bc71b5341120e87,,YES,97881.0,0.52,2026-06-17T06:12:47,1,3360.320718285161,3360.320718285161,130,126,0,0,0x121f6f555a3de163411e9dfbb8bab2588770eac9,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
39,0xf0180d4561dbaeaac3b96b7491bfafc94cea4069,0xd48010de315e10d071853b1466f0c273e766fa07,,NO/YES,96349.0,0.52,2026-06-17T07:50:59,1,31402.7475,31402.7475,54,1325,0,0,0x10776a5f58442a9d46bb678990963ca34a08b071,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
42,0x6391098e7404210be5b4b67c1bb6c1bdf4be194a,0x24f16d0cda8c2de21c762e0295c28d7249a972a4,,OTHER/YES,78914.0,0.42,2026-06-17T00:04:35,1,15821.940115,15821.940115,4,87,0,0,,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
46,0xc9e8233c2c5476cda4f96595bbb3a9d117168df5,0x79c8039c0cfbdc3cdf8d66efb1ad2836e698ea3c,,YES,60980.0,0.33,2026-06-17T12:38:11,1,18493.705,18493.705,2,97,0,0,,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
47,0x44a836d78305a80a45a203addd0fb82485dd16bb,0x841499f8f5f869c20886d581641dc181e9c6b672,,YES,55051.0,0.29,2026-06-17T01:21:59,1,6011.823964441769,6011.823964441769,13,149,0,0,0x44a836d78305a80a45a203addd0fb82485dd16bb,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
48,0xe6643d4bc9ef9a7b4a1d52a5d6b7df97daf6431e,0xa4d849e3b972088f72ed2899f2945410cd784ba7,,YES,50481.0,0.27,2026-06-17T13:04:47,1,50287.234937732814,50287.234937732814,8,36,0,0,0xf70e77272c9befef43b0517fc88e0213d25b320c,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
49,0xc514ee0ec7d8cd86d32b60cbbe753f115959ed00,0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db,,YES,50256.0,0.27,2026-06-17T13:05:47,1,50062.5790411588,50062.5790411588,6,34,0,0,0xf70e77272c9befef43b0517fc88e0213d25b320c,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
54,0xefe1fcede58d10606e89fdcf7539035686c7e2ad,,,YES,39605.0,0.21,2026-06-17T08:00:47,0,27601.940000000002,27601.940000000002,9,109,0,0,,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
57,0xe348855eba9f8b179fe379dbb6f776e40f46484c,0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,,YES,34243.0,0.18,2026-06-17T13:29:59,1,34169.70501964927,34169.70501964927,7,36,0,0,0xf70e77272c9befef43b0517fc88e0213d25b320c,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
59,0x49b3fb1b5e6c6ae2a0f15de68f73f9e5cf99bd78,,,YES,25801.0,0.14,2026-06-17T00:15:23,0,23746.99956,23722.61,4,94,0,0,,3,yellow_review,voted_yes;uma_inbound_in_window;uma_outbound_in_window
6,0x0afc9a935960948ed35e50ac7639cbb38e840b38,0x4b8aef878255f6242606fe5e73d659004f5a34fa,,YES,880730.0,4.72,2026-06-17T17:11:23,1,0.0,0.0,5,96,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
7,0x487a5bbdc6091be0e27c0e8ea283047d94862538,0x260d417fbd1716b1375cd311f8a6677c4a780b3a,,OTHER/YES,715196.0,3.83,2026-06-17T03:40:35,1,0.0,0.0,2,86,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
8,0x8548682e561668a51f99124d998db97ff326e67e,0xc03808e0af01563a739e408268d5517dd7d710f3,,YES,461920.0,2.47,2026-06-17T00:37:35,1,0.0,0.0,6,127,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
9,0x6564c6c44ef87e3bb32d7987317869817380340c,0xc636da66cfa5c363c4785835069dcaf85ab91feb,,YES,461061.0,2.47,2026-06-17T08:55:59,1,0.0,0.0,4,86,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
11,0x66ca133ec691ca210251fcd4c963ba220515225a,0x2108a6d1f32d1a932431d64e3328d1d45bd0520f,,YES,439615.0,2.35,2026-06-17T00:06:35,1,0.0,0.0,2,92,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
14,0xf659a672600f7c9f6fac317f884f8c76357fd48b,0x6147d56b02fabd35cd9fc2b80a60276cdf089521,,YES,309632.0,1.66,2026-06-17T06:14:23,1,0.0,0.0,1,83,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
16,0xb73812cce6f5cb7ada40a134b4b16aefbdbb9472,,,YES,282946.0,1.51,2026-06-17T00:04:47,0,0.0,0.0,2,92,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
17,0xf0027afb0cfbaae582e21d96e2761b0b07bfbfb2,0x5db732749c6871540f481c15ebf353fc03c225d3,,YES,266957.0,1.43,2026-06-17T07:10:47,1,0.0,0.0,6,104,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
19,0x840bf8f06b175aa001b85cdb68b3378e8b14946f,0x8bd7b5e860998607715da42944cc9de3486a3ae2,,YES,255551.0,1.37,2026-06-17T09:14:23,1,0.0,0.0,1,96,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
20,0x0e5f35f0c4395e19a26f05d10d971efb0ed20049,0x8d47cd9b8b015b0f3865e8ee0b96b8125bb1f483,,YES,238473.0,1.28,2026-06-17T08:04:11,1,0.0,0.0,5,138,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
21,0x9e307d74b79af7930608065b9ce24b20ed2a0d35,0x35a7f9db799649908688826e06ca754ea0153724,,YES,232758.0,1.25,2026-06-17T02:37:35,1,0.0,0.0,5,88,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
22,0xb731ccc5f62e99ea25220bfd73c3867bb5205790,0x744c2f5fadbc305d20fc91274b71a6896d294946,,YES,217160.0,1.16,2026-06-17T07:37:35,1,0.0,0.0,2,103,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
23,0x20ec3d7739fc8ba82014a9cf0a771b427e0b56c0,0xfd8355b24ab8815ca2d76d1e495dc29b4330241f,,YES,214805.0,1.15,2026-06-17T03:11:47,1,0.0,0.0,3,88,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
25,0x30b2daeb3757b6c7462cd0d776828f8d7398be50,,,YES,196230.0,1.05,2026-06-17T07:36:47,0,0.0,0.0,4,119,0,0,,2,green_or_low_signal,voted_yes;pct_round_ge_1
29,0x2d51f7645dd96bcac85a62a3affd70a419776f52,0x0dd7762e2fe09c9ee2f5acdea19c102f7c16d8c2,,YES,150355.0,0.8,2026-06-17T07:45:23,1,30036.35958,0.0,4,88,0,0,,2,green_or_low_signal,voted_yes;uma_inbound_in_window
56,0x4431211df49f9a51cbba89467a524985cc809080,0x53a30736a43c413edf5c13f049d34d3dd57b7128,,NO,34450.0,0.18,2026-06-17T11:42:47,1,8203.345544,8203.345544,4,98,0,0,0x732101354af9a6e5bb40024835a748958c091ded,2,green_or_low_signal,uma_inbound_in_window;uma_outbound_in_window
27,0x1a0d30c0d36ec7fbd1082ce54443acb68ddaf351,0xd0a530121747b005af6bed69426092cb525713d5,,OTHER/YES,178654.0,0.96,2026-06-17T08:17:47,1,0.0,0.0,2,115,0,0,,1,green_or_low_signal,voted_yes
28,0x89bebc6265fa32861e38ae26e112aa4694b9103a,0x0f8fe8e8b7ad38615904a08e821e875fa19d8b67,,YES,157726.0,0.84,2026-06-17T10:03:35,1,0.0,0.0,5,79,0,0,0x796ad775d8b7fb1445a2196b7b7c297f87e8b9f2,1,green_or_low_signal,voted_yes
30,0x48f87ad9d4532b1db5fef365a56d8035e88579be,0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,,YES,148327.0,0.79,2026-06-17T06:40:35,1,0.0,0.0,3,91,0,0,0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,1,green_or_low_signal,voted_yes
33,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,0xb6e74e6fd559f9207679d128dddbb35b9042a166,skakun.eth,YES,124209.0,0.66,2026-06-17T01:22:59,1,0.0,0.0,14,110,0,0,,1,green_or_low_signal,voted_yes
34,0xc12fa1c74c5d97c8eae9c16ab9df28837d9d39ee,0xfa93e76bb7de1071d6f9c0f77af883c2a944b2d1,,YES,122819.0,0.66,2026-06-17T17:17:23,1,0.0,0.0,0,93,0,0,,1,green_or_low_signal,voted_yes
40,0x7baa3b328603535006d76d7b80af7260fd8a946a,,,YES,88234.0,0.47,2026-06-17T02:57:47,0,0.0,0.0,5,88,0,0,0xa9624879bb4220261c5b7511d65298251c6814e7,1,green_or_low_signal,voted_yes
43,0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,,YES,77718.0,0.42,2026-06-17T21:22:11,1,0.0,0.0,60,116,0,0,0x876311979b95e676ef332490520ad315ae186b37;0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,1,green_or_low_signal,voted_yes
44,0xed92d127277fae0dba3490b724f81dcb95a8a7b0,0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,,YES,75129.0,0.4,2026-06-17T13:17:11,1,0.0,0.0,7,78,0,0,0xfa205120907585d2c46214beb2f27bc496e4235d,1,green_or_low_signal,voted_yes
45,0xa9b0d5c5e012cb47dd473fe3cea272b5f716c344,0xa8e20d1b16c2821c2e17a58eb9c92c2ec7699283,,YES,61675.0,0.33,2026-06-17T22:03:23,1,0.0,0.0,0,76,0,0,,1,green_or_low_signal,voted_yes
51,0x18f7f5243263e84ee8de50ca6c704b3415669222,0x1cee194da1eefe344fb2e7f46fab7d3a65c078e5,,YES,42894.0,0.23,2026-06-17T17:14:11,1,0.0,0.0,1,87,0,0,,1,green_or_low_signal,voted_yes
52,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,0xb397dee549e3fdf24c82b72707cb6fcd849d214f,,YES,40412.0,0.22,2026-06-17T01:19:35,1,0.0,0.0,10,82,0,0,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0;0xb397cac6c114a764c20c1ef46c5ca549f861214f,1,green_or_low_signal,voted_yes
53,0x060b1eb582790cdfa8e56afebfc4fcafcd2081fa,0x342f40fc637e631f669a5b38fa4fc94dcdd7dbed,,YES,40342.0,0.22,2026-06-17T01:19:11,1,0.0,0.0,4,84,0,0,,1,green_or_low_signal,voted_yes
55,0x69d0341d380a1229f4751a0a721345dbc716586c,,neondaemon.eth,YES,39413.0,0.21,2026-06-17T05:27:23,0,0.0,0.0,6,90,0,0,0x69d0341d380a1229f4751a0a721345dbc716586c,1,green_or_low_signal,voted_yes
58,0x47a40a367b3298be3da3bde3994c5342e26f368b,,,YES,29926.0,0.16,2026-06-17T00:17:23,0,0.0,0.0,0,83,0,0,,1,green_or_low_signal,voted_yes
32,0xe42088fe251e3173e680f4b4a7f3942e5b8b021a,0x203f9674be9782bc4b194625ee9dc6800e65b2d8,,NO,136045.0,0.73,2026-06-17T22:45:35,1,0.0,0.0,2,96,0,0,0xf30ba13e4b04ce5dc4d254ae5fa95477800f0eb0,0,green_or_low_signal,
41,0x84252729ed32fa0fa1b454b8f58b71758239d627,,,NO,81337.0,0.44,2026-06-17T16:45:23,0,0.0,0.0,7,100,0,0,0x2cff890f0378a11913b6129b2e97417a2c302680,0,green_or_low_signal,
50,0x04b81d0480d5899b7d1460fa5036b66415ecdb57,0x1de746bb64222c304b38f84613745323cb6c7fc1,,NO,44276.0,0.24,2026-06-17T23:30:59,1,0.0,0.0,6,75,0,0,0x3d65ed138686e2ad54006d4db83ad4597d645370,0,green_or_low_signal,
