queriedAddress,queriedLabel,category,blockNumber,blockTimestampUTC,txHash,from,to,asset,value,rawContractAddress,rawValue,rawDecimal,umaAddress,umaRoles,umaRanks,umaDecodedVotes,umaVotingPowerUMA
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88517486,2026-06-14T23:53:34.000Z,0xa4a3491747b4fb65641fc7184214d352bfaa2bce086376ba1e5244df35e5aaff,0x312502b52702a0dbcbd502bd211857cd948c9683,0x126db3213b309a8d554594e591e614425ccac78e,USDC,0.00015,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0x96,0x6,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88517662,2026-06-14T23:57:58.000Z,0x16d225001b05ad7e336d25ccad8b11cd283eb5655593fe3ad711ca048cec91a1,0x3125290b67e8914641c6fda1da49de6d75619683,0x126db3213b309a8d554594e591e614425ccac78e,USDC,1.5e-05,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0xf,0x6,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88517662,2026-06-14T23:57:58.000Z,0x16d225001b05ad7e336d25ccad8b11cd283eb5655593fe3ad711ca048cec91a1,0x3125290b67e8914641c6fda1da49de6d75619683,0x126db3213b309a8d554594e591e614425ccac78e,USDC,1.5e-05,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,0xf,0x6,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88530965,2026-06-15T05:30:33.000Z,0x701f9ba32c4272dd987e564a9e0f747ac3713219a9639eb5972493e3f2dc0d45,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,11.99,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa665097968ef0000,0x12,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88588565,2026-06-16T05:30:33.000Z,0xa273295dde4c5361683d58cbe81a3f0be0740c0cae39dd5fdd9519772f0b6bb5,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000,0x12,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88646163,2026-06-17T05:30:34.000Z,0x162f7e4e47016d1dde45c332ef4b54ea5c7ff20c15d8a1b16e423f9567d5af1a,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000,0x12,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
0x126db3213b309a8d554594e591e614425ccac78e,UMA_ADDRESS,erc20,88710069,2026-06-18T08:08:19.000Z,0x718d4ba60e60ccc16b3f3940a95de2213d02a5a986aa28db6e6aafd527e6564f,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,11.98,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa6418286f92e0000,0x12,0x126db3213b309a8d554594e591e614425ccac78e,EVENT_CALLER;EVENT_VOTER;WORKBOOK_STAKER,60,YES,25225.471457678774
