umaAddressLower,umaDisplayAddress,umaRoles,umaRanks,directionQueried,counterpartyLower,txHash,blockNum,blockTimestampUTC,from,to,asset,category,value,rawContractAddress,rawValue
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,from,0x312556a1ca273957e44d78ea8130a16119af9683,0x20484cd642e522781e11e4ad0bf42f00c6d6d0afa93467201121f43a7d74fa5a,0x54985b5,2026-06-18T05:47:31.000Z,0x126db3213b309a8d554594e591e614425ccac78e,0x312556a1ca273957e44d78ea8130a16119af9683,ÚSDС,erc20,150.0,0xf0ddb6df107038b07f01b1f07a097a25bb5fe088,0x8f0d180
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,from,0x312556a1ca273957e44d78ea8130a16119af9683,0xd994c09da80a52de263848c7406dea380dddf523a7ea5aa3655e8d2b1d3744d4,0x5499dec,2026-06-18T08:22:29.000Z,0x126db3213b309a8d554594e591e614425ccac78e,0x312556a1ca273957e44d78ea8130a16119af9683,ÚSDС,erc20,150.0,0xf0ddb6df107038b07f01b1f07a097a25bb5fe088,0x8f0d180
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,to,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x701f9ba32c4272dd987e564a9e0f747ac3713219a9639eb5972493e3f2dc0d45,0x546e015,2026-06-15T05:30:33.000Z,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,erc20,11.99,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa665097968ef0000
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,to,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0xa273295dde4c5361683d58cbe81a3f0be0740c0cae39dd5fdd9519772f0b6bb5,0x547c115,2026-06-16T05:30:33.000Z,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,erc20,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,to,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x162f7e4e47016d1dde45c332ef4b54ea5c7ff20c15d8a1b16e423f9567d5af1a,0x548a213,2026-06-17T05:30:34.000Z,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,erc20,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000
0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,eventCaller;eventVoter;workbookStaker,60,to,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x718d4ba60e60ccc16b3f3940a95de2213d02a5a986aa28db6e6aafd527e6564f,0x5499bb5,2026-06-18T08:08:19.000Z,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,GEOD,erc20,11.98,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa6418286f92e0000
