UMA Whales — Top 60 voters by voting power,,,,,,,,,,,,,,,
Each row = one staker wallet. 'Delegate / hot wallet' = the address used to cast the vote. Addresses link to Etherscan.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Rank,Wallet address,ENS,Vote,"Voting power
(at vote, UMA)",% of round,"Current staked
UMA","Wallet UMA
balance","Total UMA
(stake+wallet)","Claimable
rewards (UMA)","Pending
unstake","Slash
adj.",Delegate / hot wallet,"ETH
balance","Tx
count",Reveal time (UTC)
26,0x4863FE62d4cd3718bc0C104ec0cb45052d41e44f,,YES,"192,691",1.03%,"193,094",0,"193,094",955.8,"63,637",0.00,0xcF2e28E5E57461254B8B254AE6D03c89d19BF743,0.000,1,2026-06-17T11:09:11
27,0x1A0d30C0D36eC7fBD1082cE54443aCb68DdAf351,,OTHER/YES,"178,654",0.96%,"178,819",0,"178,819",240.1,0,0.00,0xd0A530121747B005af6Bed69426092cB525713d5,0.000,1,2026-06-17T08:17:47
28,0x89BEbc6265fA32861e38AE26E112aA4694B9103A,,YES,"157,726",0.84%,"157,726",0,"157,726",583.2,0,0.00,0x0f8fe8e8B7Ad38615904a08e821E875fa19d8b67,0.000,1,2026-06-17T10:03:35
29,0x2D51F7645Dd96bcAC85A62A3AfFd70A419776F52,,YES,"150,355",0.80%,"150,670",0,"150,670","1,524.4","49,671",0.00,0x0dD7762E2fe09c9eE2F5aCdeA19C102f7c16D8C2,0.000,1,2026-06-17T07:45:23
30,0x48f87AD9D4532b1dB5feF365A56d8035E88579be,,YES,"148,327",0.79%,"148,638",0,"148,638","1,121.7",0,0.00,0x419d955a9C3dF6A1b9eB3EbF2d21a3C63A8d57ef,0.000,1,2026-06-17T06:40:35
31,0x240d2243D90E8968D0c8E807202bC8a2DE0dC53C,,YES,"143,537",0.77%,"143,839",0,"143,839",106.4,0,0.00,,0.022,164,2026-06-17T13:13:23
32,0xE42088Fe251e3173e680F4B4a7f3942e5b8b021a,,NO,"136,045",0.73%,"136,045",0,"136,045",500.9,0,0.00,0x203F9674bE9782BC4B194625Ee9dC6800e65B2D8,0.000,1,2026-06-17T22:45:35
33,0x5869458f360D8C1CE49e35fCcb3d0A1F25E8d533,skakun.eth,YES,"124,209",0.66%,"124,469",0,"124,469",238.0,0,0.00,0xB6e74e6fD559f9207679D128ddDBb35B9042A166,2.831,922,2026-06-17T01:22:59
34,0xc12FA1C74C5d97C8eAe9c16Ab9Df28837D9d39Ee,,YES,"122,819",0.66%,"123,077",0,"123,077",420.7,0,0.00,0xFa93E76Bb7de1071D6f9C0f77Af883c2a944B2d1,0.000,1,2026-06-17T17:17:23
35,0x92D76B5D5EE767A4A90719A9A910936dc4006fc6,,YES,"119,580",0.64%,"119,830",0,"119,830",497.4,0,0.00,0xfCfA494c13409172109f161C428499B39682fFa4,0.000,1,2026-06-17T09:55:47
36,0xcd16c08f73CD87558304ce2209fCa69ac5885e69,,YES,"103,363",0.55%,"104,470",0,"104,470",79.0,0,0.00,0xB09080C5aC5adC483208DfBE22f8684eEc907c17,0.025,192,2026-06-17T01:24:59
37,0x9b8f31D4A132cFd3425EEf49076e56e60Dc1Ed2F,,OTHER/YES,"100,718",0.54%,"100,811",0,"100,811",932.3,"65,000",0.00,0xF39695c39EaCdf81D146cE6667E81476Ea9b3fa7,2.299,831,2026-06-17T03:39:23
38,0x8B64673c9a482913a6e2c1298637532947cD96eE,,YES,"97,881",0.52%,"98,085",0,"98,085","2,004.2",0,0.00,0x9BC114CbDf47021f15416e720bC71b5341120E87,0.344,"1,957",2026-06-17T06:12:47
39,0xF0180d4561dBAEaac3B96b7491bfAFc94cEa4069,,NO/YES,"96,349",0.52%,"96,438",0,"96,438",765.7,0,0.00,0xd48010De315e10D071853b1466f0C273e766FA07,0.000,1,2026-06-17T07:50:59
40,0x7BAa3b328603535006d76D7B80aF7260FD8A946a,,YES,"88,234",0.47%,"88,324",0,"88,324","1,392.7",0,0.00,,0.051,668,2026-06-17T02:57:47
41,0x84252729ed32fA0fa1b454b8f58B71758239d627,,NO,"81,337",0.44%,"82,164",0,"82,164",47.3,0,0.00,,0.084,323,2026-06-17T16:45:23
42,0x6391098E7404210Be5B4b67C1bb6C1BDf4BE194A,,OTHER/YES,"78,914",0.42%,"78,987",0,"78,987","1,767.4",0,0.00,0x24F16D0Cda8c2De21c762E0295C28d7249a972A4,0.000,1,2026-06-17T00:04:35
43,0x69d0a6CCB76F3F7EF96DAda03B01B555E76fa819,,YES,"77,718",0.42%,"77,718",0,"77,718",263.2,0,0.00,0xdD2CB8c9b8FCCDc366AE60f4FE1c99813Ec0d18e,5.910,152,2026-06-17T21:22:11
44,0xED92D127277Fae0dBa3490B724F81dcb95A8A7b0,,YES,"75,129",0.40%,"75,716",0,"75,716",55.9,0,0.00,0x27064Cc4FE5bd5a20d0e5A21390a45F5a44Bf7D3,0.000,1,2026-06-17T13:17:11
45,0xa9b0D5c5e012CB47dd473FE3CEa272b5F716C344,,YES,"61,675",0.33%,"61,805",0,"61,805",983.6,0,0.00,0xA8E20D1B16c2821c2E17A58eB9c92c2ec7699283,0.000,1,2026-06-17T22:03:23
46,0xc9e8233c2c5476cDA4F96595bBb3A9D117168df5,,YES,"60,980",0.33%,"61,107",0,"61,107",333.2,0,0.00,0x79c8039C0cfBDC3cdF8d66eFB1AD2836E698ea3c,0.000,1,2026-06-17T12:38:11
47,0x44A836d78305A80a45a203aDDd0FB82485DD16bB,,YES,"55,051",0.29%,"55,205",0,"55,205",27.1,0,0.00,0x841499f8F5F869c20886D581641DC181E9C6B672,0.080,244,2026-06-17T01:21:59
48,0xe6643D4bC9EF9a7B4a1D52A5d6b7DF97DAf6431E,,YES,"50,481",0.27%,"50,587",0,"50,587",391.9,0,0.00,0xa4D849e3b972088F72ed2899f2945410Cd784Ba7,0.000,1,2026-06-17T13:04:47
49,0xC514ee0EC7D8Cd86d32b60cbBe753F115959eD00,,YES,"50,256",0.27%,"50,361",0,"50,361",390.2,0,0.00,0x82aC3585ab4C876ACf7bC28CB6833A65Ba7EC7Db,0.000,1,2026-06-17T13:05:47
50,0x04B81D0480d5899b7D1460FA5036B66415ecdB57,,NO,"44,276",0.24%,"44,270",0,"44,270",356.4,0,0.00,0x1DE746BB64222C304b38F84613745323cB6C7fC1,0.000,1,2026-06-17T23:30:59
51,0x18f7F5243263E84ee8De50cA6c704b3415669222,,YES,"42,894",0.23%,"42,984",0,"42,984",59.3,"13,722",0.00,0x1CEe194Da1eEfe344fb2e7f46faB7D3A65C078e5,0.000,1,2026-06-17T17:14:11
52,0xA7b9D5Fc54eb3FfE1985a10e28d045a9b89487D0,,YES,"40,412",0.22%,"40,497",0,"40,497",378.9,0,0.00,0xb397dEe549E3FDF24C82b72707cb6FcD849d214f,0.488,715,2026-06-17T01:19:35
53,0x060b1eB582790CDfa8E56aFEBFc4FCAFcD2081FA,,YES,"40,342",0.22%,"40,427",0,"40,427",378.2,0,0.00,0x342F40FC637e631f669a5b38fA4fc94Dcdd7DBED,0.027,19,2026-06-17T01:19:11
54,0xEFE1fcEDe58d10606e89Fdcf7539035686C7E2aD,,YES,"39,605",0.21%,"39,688",0,"39,688",116.8,0,0.00,,0.017,108,2026-06-17T08:00:47
55,0x69D0341d380a1229f4751a0A721345dBc716586C,neondaemon.eth,YES,"39,413",0.21%,"39,495",0,"39,495",150.5,0,0.00,,0.923,"1,740",2026-06-17T05:27:23
56,0x4431211dF49f9a51cbba89467a524985CC809080,,NO,"34,450",0.18%,"34,403",0,"34,403",476.7,"11,430",0.00,0x53A30736a43c413Edf5C13F049D34d3Dd57B7128,0.000,1,2026-06-17T11:42:47
57,0xE348855ebA9F8B179fE379DBB6F776E40F46484c,,YES,"34,243",0.18%,"34,315",0,"34,315",131.1,0,0.00,0xb7351893B4108a62Cd765Cdaa8eD6e8544E9BBF2,0.000,1,2026-06-17T13:29:59
58,0x47A40A367b3298BE3da3BdE3994c5342e26f368b,,YES,"29,926",0.16%,"29,989",0,"29,989","2,620.9",0,0.00,,0.185,831,2026-06-17T00:17:23
59,0x49b3fB1B5E6C6Ae2A0F15dE68F73F9e5Cf99Bd78,,YES,"25,801",0.14%,"25,801",58,"25,859",86.4,0,0.00,,0.020,377,2026-06-17T00:15:23
60,0x126db3213b309A8D554594e591e614425cCaC78e,,YES,"25,225",0.14%,"25,278",0,"25,278",26.4,0,0.00,,1.191,"1,593",2026-06-17T00:28:59
