wallet,pattern,uniqueMarketsBoughtYES,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,totalYESNotionalUSDC,earliestYESBuyUTC,latestYESBuyUTC,names,pseudonyms
0xc4086b708cd3a50880b7069add1a1a80000f4675,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,6993.0,9970.0,16963.0,2026-06-17T07:59:29+00:00,2026-06-18T00:21:19+00:00,JJo,Flashy-Bid
0x35e36faa4cf1488d120580302ed1d149be749188,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,6089.78412,4999.991556,11089.775676,2026-06-17T18:01:05+00:00,2026-06-17T23:50:58+00:00,0x35e36FaA4cf1488D120580302Ed1d149bE749188-1775509899044,Strident-Export
0x144e019d576f112fa767cc77240b98a7f31e5e08,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,844.83432,9528.02149,10372.85581,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,newstrat,Splendid-Worshiper
0x615346ac3277f46c5282bd7eb20fc496d55144ab,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,589.33008,9215.15827,9804.48835,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,clem913,Inborn-Bust
0x5a892cefe9c01ed049d8e5193136abaf5808c186,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,777.59163,7942.03678,8719.62841,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,cestledeuxieme,Quirky-Parenthesis
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,1498.5,5990.6,7489.1,2026-06-17T18:30:29+00:00,2026-06-17T22:18:55+00:00,takemymoney,Vacant-Freedom
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,973.9251,5419.09835,6393.02345,2026-06-17T07:56:41+00:00,2026-06-18T00:16:05+00:00,dube,Expensive-Thumb
0x1987733c8beae675c544752eafe437968efe6487,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,490.6089,3995.35075,4485.95965,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,jordan0073444,Illustrious-Attraction
0x71bd821b2c823cf67ed329abbb6a05d3ab9eac00,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,559.00044,3630.20773,4189.20817,2026-06-16T11:18:01+00:00,2026-06-18T00:32:29+00:00,jordannnnnnnn,Questionable-Carport
0x793ed200a1e8344d608a17763d9cb8773b3643bf,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,726.64263,3440.64223,4167.28486,2026-06-16T11:02:45+00:00,2026-06-18T00:32:29+00:00,Letradeuur,Well-Informed-Capon
0xb483d5718da4ac6f2aa39dc933f2043c5a3a0880,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,456.46308,2913.92664,3370.38972,2026-06-16T10:48:33+00:00,2026-06-18T00:32:29+00:00,Jordannnnnnn,Courteous-Leisure
0xa3c7c8c3c49427d840f7e62e46d202fae2a53e1f,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,591.45795,2478.00439,3069.46234,2026-06-16T10:48:34+00:00,2026-06-18T00:32:29+00:00,compteeeee6,Bold-Starboard
0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,BOUGHT_TARGET_AND_FUTURE_MARKETS,3,2497.5,376.832266,2874.332266,2026-05-09T00:25:26+00:00,2026-06-17T23:51:20+00:00,Cungly,Gorgeous-Coffin
0x2fa801da750904fc348ccb9315a0b892377d4359,BOUGHT_TARGET_AND_FUTURE_MARKETS,7,320.7789,226.66939,547.44829,2026-05-08T23:54:24+00:00,2026-06-18T00:28:05+00:00,g4z3ll3,Bare-Stag
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,BOUGHT_TARGET_AND_FUTURE_MARKETS,6,246.96279,267.10905,514.07184,2026-06-17T07:53:02+00:00,2026-06-17T23:03:16+00:00,Slothtrop,Failing-Wedding
0x648bad7080caa1a9931b2774b20e87eca75900ba,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,10.98,236.723839,247.703839,2026-06-17T17:50:26+00:00,2026-06-18T00:23:58+00:00,Ox648bAD7080caA1a9931B2774B20e87ECa75900ba,Wooden-Cinema
0xe90fe094286107ab146138930fb878869702131e,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,82.885032,2.33,85.215032,2026-05-08T23:22:15+00:00,2026-06-17T23:51:04+00:00,G9vQK5Gcyx,Utter-Orient
0xdbc45db6ba0618e6182109854e8d19a77b4f4347,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,40.248711,9.1,49.348711,2026-05-08T23:22:06+00:00,2026-06-17T23:50:58+00:00,pollybott,Troubled-Lining
0x54498e4c40b17261479aeaeeddf9cc37bd46992b,BOUGHT_TARGET_AND_FUTURE_MARKETS,3,7.498494,14.499994,21.998488,2026-05-08T23:22:06+00:00,2026-06-17T23:50:59+00:00,nan,nan
0xbeae9360957c3af4977972260bbb4539762ff5c0,BOUGHT_TARGET_AND_FUTURE_MARKETS,2,0.999999,0.999999,1.999998,2026-06-17T07:59:40+00:00,2026-06-18T00:21:22+00:00,nan,nan
