proxyWallet,queriedWallet,timestamp,activityTimeUTC,deadlineBucket,conditionId,marketRelationType,marketQuestion,marketSlug,marketEndDate,type,side,outcome,outcomeIndex,asset,size,usdcSize,price,transactionHash,title,slug,eventSlug,name,pseudonym,bio,isCombo,_collectionTimeUTC
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540650,2026-06-15T16:24:10+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,20.0,19.0,0.95,0x136283b2879df969feb36b559a347fd561d2f119db8dc3be898839e03a02f6b4,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540653,2026-06-15T16:24:13+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,20.0,19.0,0.95,0xc9f6c38f10cdabbedc9bcf922ce685b12901900ac79b4b3e04c732a649531d5e,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540668,2026-06-15T16:24:28+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,200.0,190.0,0.95,0x9de0230c62585937b9eacb8399284f85d5f9113654f16275461fbca4d8b9109a,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540682,2026-06-15T16:24:42+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,23.82,22.629,0.95,0x870354dd6d5f9c2dc6e9bd47323f482fb6be8c1fb233e29442e4f446c25742bd,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540686,2026-06-15T16:24:46+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,20.0,19.0,0.95,0xc55136a2b3b531374edcc1b953a28619917c7ee8a197b57afae13af26b99f706,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540689,2026-06-15T16:24:49+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,4500.0,4275.0,0.95,0xf181e8e589fe66c52e908238cea2c38882d1b6c103d5a9c2135580f24689a9fa,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540691,2026-06-15T16:24:51+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,32.0,30.4,0.95,0x877de304031e552c987ed1524d2c782f87c33e0279634229263bd66f3829d2e8,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540691,2026-06-15T16:24:51+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,264.79,251.5505,0.95,0xde172e85798b4e2a3f09816a40cb91924e841f72b9796621b566cc22bc09e609,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540701,2026-06-15T16:25:01+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,408.16,387.752,0.95,0xe754b889ad149693eed4d8615c087f8b51f27fc5979140d2d0eadf0294ff66b4,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540704,2026-06-15T16:25:04+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,40.0,38.0,0.95,0xaaca3a6ac6ca094173e4f0a6fa71d51f5978e6ce9da40cb82fa66484b9ed025a,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
