txHash,rows,assets,reportedValues,note
0x1412d8a4ede917e97302d11e33d674292daf30e4fceded79b9e5de23acb6bdab,2,,,Review manually as possible post-resolution payout or token transfer candidate
0x3ca10b289426080553684d146302952052cac44135df9429a095c796b4586542,1,pUSD,3.7128,Review manually as possible post-resolution payout or token transfer candidate
0xd1dadc5237a1dce4bfc4fa5ced7e749bd0d9d46f62f3900286ca5fcff3c2fab5,1,pUSD,118.989,Review manually as possible post-resolution payout or token transfer candidate
0x4fe63fc46dbab56a47fa8ee14fc65e569a4ac0bfae480a95ce8a4ce9fe037477,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xd1da063d1c0591842057275de52b2e81c30a7fdd70521a267a1e8d441fc70011,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x44105633bd0e6bca84558c221946d5bb39a104cbb473d6e5dc0542f817462018,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xd472d17c663491db54d6edbbaf41bb529e66945e8f8ecac38e0ef4c0c6ad7385,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x9879a2668ba0cfed60f949ca04e9f92f718955f7d4d12e3fad66488d8b220c49,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x1b96592d684f175651fc22454f59283f7a99cbf5757b637a72d3cd846915a586,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x7a288af430000539dc4c6c8a92d9514ea21d88757bd260230bc673882a4a4319,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xb7384ae746320dfd666891310b346663a4826cf73e322eacdc17c76553410cfe,1,pUSD,1.979998,Review manually as possible post-resolution payout or token transfer candidate
0xef24d78cecec1ebe4ff96d466b123b9543e66012ef3cc50ab74ee0714d4b3a9d,1,pUSD,1.009998,Review manually as possible post-resolution payout or token transfer candidate
0x91fce4fa062149ad5340675fba5e01bdd99d04650d484677caf706875059e5c8,1,pUSD,2.539999,Review manually as possible post-resolution payout or token transfer candidate
0xd90e8c3206d7773a1a8352ef1aa17ee528cc0e0287a487fff7c7e06d632e217f,1,pUSD,1.009998,Review manually as possible post-resolution payout or token transfer candidate
0xeedd083dc384a680802407eb3fdd52bb494f0b18c32780ac9bda2abfbe93323c,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x872c4370dd831577917f4a67b1e554cd706b81818472d3c9375a84ded54b3f4c,1,pUSD,1.9968,Review manually as possible post-resolution payout or token transfer candidate
0x65e822d26cfbdd115b186abebfd5ee28a885a3a35518aad17d0cfcc9eec204bc,1,pUSD,51.18106,Review manually as possible post-resolution payout or token transfer candidate
0xf01d40540b164168dab01901f495a450bbb0a1cbc943c8a7fdd1ea584ec6cb8a,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x36bb4bef799d0eb77be5155a0425703dc194cbcacfc7fcdc0bd814ee22141f9f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x32dfe929f6706ad8137623806f5239059b68fcbe99bc0c4616a10d8bf23340f7,1,pUSD,3.049998,Review manually as possible post-resolution payout or token transfer candidate
0x74d06d92b4aee3bef12f393139e613edc2680de5eb9c36d9ee7e40b7649b3ce5,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x77e1512193330e59312a18869670b03af617e3ca73e1ca644fd884f65ae11dd6,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x9fbd4bf9272dd241f7f24737b3d51767e088d66294fa2e6e274f6d7a6414fcca,2,pUSD,4169.25355;1820.0,Review manually as possible post-resolution payout or token transfer candidate
0x9226c8d1029319c91c98d7f2ed21c7980913dd776e9f64542c988d99c0f668c0,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x1b17513488484afd679a3619cbc973bcd9f2f02a64656955e0e98403f43416d6,1,pUSD,0.0228,Review manually as possible post-resolution payout or token transfer candidate
0x14890d8a2ce0f83b3af5ff07d3e0096c661f52a5afb876798e843e420e74d4db,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x2e0275d840c58a72b496cce569e979966fb0ae5e1d43cbdf1a9e520fc043c78f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4eae11a4279b05d15238e99337e840b54d674c95e0f2e27341f9fe0bc81bd78f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x25354c216b25501e656ae894acb1b2b5f75ff98b81f4b583070ad20d47e5b99c,1,pUSD,0.0076,Review manually as possible post-resolution payout or token transfer candidate
0xe06121cdc1b82eeab16904001371a8d80326de6b4a83a71d3d49e5c83322b324,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xdc4ace9a118cbadf0d3da4c5e1ddcac1befebabec94ae8a64c296e8af8c48d91,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x9ff590bb9f4ae13a7f8ba9df188115da35d61fa30746607c4f182bed6d8af999,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4cc063e6c93dc3f9ee97af6bbc01431cd0fe9a39b763fe0749c875dea8457691,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x71b17ac0c8c693c17a6fa0e6dcd31c5867463fa56be6693fd47b43243f14ee7d,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xdf4eda9c2f40547bd7f02de47dce5ce0e18bc49c612036ca7873abf927397c36,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x92632264c042cb6b368fdb5535d96eedcf0426962b4272f4b0f550a49f878c97,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x16069785d0dc7658ab3c616cae8ce03c47bd4aa7729dd661c213caf8cd84331f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xfeb849c3364f28d4406ad2b657bf01ec3425f7739b4fdf1dc017d371ef2cfa17,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xba42e1a126880086619adbf5dfc3d27179ddf0edeb230bcb1d46f5f20bc02d8f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4a65fa6f3a26d3e6eb4030b155216f67dfc73fac7100daf08bb058869640f638,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xc06ca775e3151c3e67e0a89062852283c10666b513c4129ca19388b42bb41d8d,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xac44c9e0024392c9e465635fd09bb783e45faec88dddf1f61437eaf49d375ccf,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x74e317bb7ea9fc7f0474cfcd281c9464e9adf9abff20c29a9f25ebe839efd415,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xb3d77ef3ca579bd078d7d96337a5b9154d32886b1e6c5de91643ec4123f64cdb,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x0dcc433f78d4034d814a20c52eb1b40139482b9795be2fa2006d214a6741a3ec,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xd0235b6074aa801ab9c4564d5df6177b337a6eb36c509170fcdabd0b4655df3f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x81c38c895b5e4044c51bcbefaeee2d11688be9035da973dc3eb725cf5ad5b374,1,pUSD,5.538,Review manually as possible post-resolution payout or token transfer candidate
0xc6e0b3cec2e622376c8059c54966d1a3ec6b496f15f27a83b7e9dd974147565d,1,pUSD,81.3504,Review manually as possible post-resolution payout or token transfer candidate
