walletLower,wallet,sourceGroups,step11F_priority,patterns,priorityReasons,totalYESNotionalUSDC,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,firstRelevantYESBuyUTC,redeemActivityUSDCSize,step11DTokenPathRoles
0x751a2b86cab503496efd325c8344e10159349ea1,0x751a2b86cab503496efd325c8344e10159349ea1,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from direct target-and-future buyer/redeemer",174368.09736,0.0,174368.09736,2026-06-17T21:09:05+00:00,174542.64,token receiver / future redeemer
0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,134356.630278,4357.638,129998.992278,2026-06-17T19:27:41+00:00,174529.9594,
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from another future-only redeemer",146383.04724,0.0,146383.04724,2026-06-17T19:03:22+00:00,147236.38,token receiver / future redeemer
0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,98052.39945,97902.0,150.39945,2026-06-17T23:55:11+00:00,98150.55,
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: received from another future-only redeemer",231901.73646,0.0,231901.73646,2026-06-16T13:11:01+00:00,80870.946275,token receiver / future redeemer
0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,66341.20239,41519.9385,24821.26389,2026-06-17T21:11:34+00:00,78827.583329,
0xc4086b708cd3a50880b7069add1a1a80000f4675,0xc4086b708cd3a50880b7069add1a1a80000f4675,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,16963.0,6993.0,9970.0,2026-06-17T07:59:29+00:00,67000.046358,token source to future redeemer
0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,58747.11408,4995.0,53752.11408,2026-06-17T21:54:14+00:00,58805.92,
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,6393.02345,973.9251,5419.09835,2026-06-17T07:56:41+00:00,50227.58071,
0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,2874.332266,2497.5,376.832266,2026-06-17T23:51:20+00:00,47500.004481,token source to future redeemer
0x2200b75c27835935a40308779b5656c09ab40f2d,0x2200b75c27835935a40308779b5656c09ab40f2d,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,29975.71065,29970.0,5.71065,2026-06-17T23:40:20+00:00,40342.895059,
0x54b56146656e7eef9da02b3a030c18e06e924b31,0x54b56146656e7eef9da02b3a030c18e06e924b31,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,29972.4,29970.0,2.4,2026-06-17T23:51:31+00:00,30000.004452,token source to future redeemer
0x7b676d5a6379855773d405fcf19b9aa577651b07,0x7b676d5a6379855773d405fcf19b9aa577651b07,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,26183.79,849.15,25334.64,2026-06-17T11:12:23+00:00,26210.001423,token source to future redeemer
0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,7489.1,1498.5,5990.6,2026-06-17T18:30:29+00:00,16980.005559999998,
0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_FUTURE_REDEEMER_RECEIVER,1,BOUGHT_FUTURE_MARKETS_ONLY; future-only redeemer token-path lead,"future-only YES buyer with at least 100k notional exposure; Related-market YES buyer and redeemer, target-link unclear; Token path lead: direct target-source plus future-source receipts",126825.04289,0.0,126825.04289,2026-06-17T07:56:41+00:00,15000.004995,token receiver / future redeemer
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,200662.49553,20511.90756,180150.58797,2026-06-17T08:27:10+00:00,12042.113888,token source to future redeemer
0x35e36faa4cf1488d120580302ed1d149be749188,0x35e36faa4cf1488d120580302ed1d149be749188,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,11089.775676,6089.78412,4999.991556,2026-06-17T18:01:05+00:00,10110.920150999998,token source to future redeemer
0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,21.998488,7.498494,14.499994,2026-06-17T12:47:41+00:00,3403.285562,token source to future redeemer
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,514.07184,246.96279,267.10905,2026-06-17T07:53:02+00:00,1391.431078,token source to future redeemer
0x2fa801da750904fc348ccb9315a0b892377d4359,0x2fa801da750904fc348ccb9315a0b892377d4359,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,547.44829,320.7789,226.66939,2026-06-16T11:02:45+00:00,1021.3186530000004,
0x648bad7080caa1a9931b2774b20e87eca75900ba,0x648bad7080caa1a9931b2774b20e87eca75900ba,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,247.703839,10.98,236.723839,2026-06-17T17:50:26+00:00,291.03784800000005,
0xdbc45db6ba0618e6182109854e8d19a77b4f4347,0xdbc45db6ba0618e6182109854e8d19a77b4f4347,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,49.348711,40.248711,9.1,2026-06-17T23:50:08+00:00,182.558906,token source to future redeemer
0xe90fe094286107ab146138930fb878869702131e,0xe90fe094286107ab146138930fb878869702131e,YES_BUYER_PRIORITY; STEP10_REDEEMER; STEP11D_TOKEN_SOURCE,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer; direct_target_and_future_yes_buyer_and_redeemer,85.215032,82.885032,2.33,2026-06-17T23:50:11+00:00,22.974277,token source to future redeemer
0xbeae9360957c3af4977972260bbb4539762ff5c0,0xbeae9360957c3af4977972260bbb4539762ff5c0,YES_BUYER_PRIORITY; STEP10_REDEEMER,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer; Direct YES buyer and redeemer,1.999998,0.999999,0.999999,2026-06-17T07:59:40+00:00,4.004,
0xa012e12645cbba5d03320b1d5ec20c5ef0a26e3e,0xa012e12645cbba5d03320b1d5ec20c5ef0a26e3e,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,499500.0,499500.0,0.0,2026-06-17T22:27:07+00:00,,
0x84571f1bf97a5c710cbe51daff2dd4556cc887fd,0x84571f1bf97a5c710cbe51daff2dd4556cc887fd,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,213936.849,213936.849,0.0,2026-06-17T23:32:52+00:00,,
0xa102b434ce441a3119e146f75ed6276ee1a836d9,0xa102b434ce441a3119e146f75ed6276ee1a836d9,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,204876.33858,204876.33858,0.0,2026-06-18T00:25:40+00:00,,
0x97f937e0ec5068121db4a4b900140544b09f4e4f,0x97f937e0ec5068121db4a4b900140544b09f4e4f,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,100030.869,100030.869,0.0,2026-06-17T23:16:19+00:00,,
0x6a88c5ecd262e2c42e78bad8e6db7ab3c4e4b859,0x6a88c5ecd262e2c42e78bad8e6db7ab3c4e4b859,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,79920.0,79920.0,0.0,2026-06-17T22:55:04+00:00,,
0x0e5bd76779e74304d08e759072abf126d87da593,0x0e5bd76779e74304d08e759072abf126d87da593,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,58891.05,58891.05,0.0,2026-06-17T21:19:56+00:00,,
0x43372356634781eea88d61bbdd7824cdce958882,0x43372356634781eea88d61bbdd7824cdce958882,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,55499.445,55499.445,0.0,2026-06-17T22:25:11+00:00,,
0x69d57cfa1abed351049d0d8de541b33635ce7767,0x69d57cfa1abed351049d0d8de541b33635ce7767,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,53527.29912,53527.29912,0.0,2026-06-17T23:07:58+00:00,,
0x44a1159b925c145e70f746bb3f0f58380553bd21,0x44a1159b925c145e70f746bb3f0f58380553bd21,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,49950.0,49950.0,0.0,2026-06-18T00:23:25+00:00,,
0x7bc14171ccb0d3e6bac219ec6a76211826e28db4,0x7bc14171ccb0d3e6bac219ec6a76211826e28db4,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,42357.6,42357.6,0.0,2026-06-17T23:39:29+00:00,,
0x9931f957a7445c9cf3f48cf09c3e523193b2ea8c,0x9931f957a7445c9cf3f48cf09c3e523193b2ea8c,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,35763.77043,35763.77043,0.0,2026-06-18T00:20:26+00:00,,
0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,0x2a019dc0089ea8c6edbbafc8a7cc9ba77b4b6397,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,29970.0,29970.0,0.0,2026-06-18T00:14:10+00:00,,
0x206191d01c411a5b346d11a2df2d463a356b8ec9,0x206191d01c411a5b346d11a2df2d463a356b8ec9,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,27749.223,27749.223,0.0,2026-06-17T23:44:22+00:00,,
0x112e9bf2f008dae57e1e6ad44ba73292e20ca3f6,0x112e9bf2f008dae57e1e6ad44ba73292e20ca3f6,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,19980.0,19980.0,0.0,2026-06-18T00:15:41+00:00,,
0x16bd7cc71f6da1e77d1d8255677abc75b9bae288,0x16bd7cc71f6da1e77d1d8255677abc75b9bae288,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,17759.223,17759.223,0.0,2026-06-17T23:42:32+00:00,,
