wallet,sources,sourceFiles,sourceColumns
0x546e7ed789cc4a7e5626160c96e54075042b26ab,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x54b56146656e7eef9da02b3a030c18e06e924b31,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x54b74d49cbfb92343e4607f260be721b208b4dfb,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; workbookDelegate
0x55b721af9b6323ddc994db71878e1e0be5133775,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5631e6c59e80dcda0fc137a6c8bcb4a586113553,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x56a5888550b372520b477f57269d9842bac55a2d,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x57115d0ab27d2624ef87922dce73669e97e32f81,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x57e53da9040ef1c7eb0135ffc4d4e5edbc820487,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5822b9376e50d576ef85e62be0f53434816f8774,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x583582716cc49794789cacdf7aeffbdbd0b79404,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x58d990254a0cace64a1581499f78ee6f6d238590,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x59129e5e98c728aebf7e02eac9a56bd7a5482a21,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5981e1fa72cb892732a7315652d82c95bf1d9742,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x59b84f3938b35337f32bf779ad1d337077e92e18,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5a218c7ad04135830a45c41aaed7294df7809318,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5a84ad7ab65e054253f1a16fe15a81a9d546c2b7,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5a892cefe9c01ed049d8e5193136abaf5808c186,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5ae56cbb75e93991d871e3f9a7ef6088702168e1,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5b2b3f7bc76c2ba2d2a924a6f74314d193d62327,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5b2e824ffdd7e8d5ac9b1470c81922267e4214bd,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5b3ad4d1e5a1fa91ae490e1752ebe3e8599b9096,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5c981963b983d3056e81c51124117916d0c1fc8a,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5ccf62ac8155e49bc7d021a1a66e9ef18f5579d7,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5cd2d9b49d142e8ea3ecf2e0bfa2ed49ae87e254,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5d05b1f588780423488a09d9aefeb64df54d6320,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5d3b7d82e56c0ff736ef37120cf5554c3a8e9a2b,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5d5542eb677346a9744796582a31bbbea4717cba,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5d92a251e1e7a1baf70500cd77c5ea6be849108a,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5db732749c6871540f481c15ebf353fc03c225d3,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; workbookDelegate
0x5e449db35da5c46b0303156c4f275908e1c90c4e,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5eda0d6cb641a76098e5cb3c9c76e57f3ecd92a7,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5ee0ed811edb960bd104f28b9b98a593851c27c7,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5f0b2ef77500dcda06d15179720b39772d1f2305,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5f0be971c7378233eb8770973827556cb2ebacd2,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5f0da37f1b8c14afee49c83a540fe10bdae5c118,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5f0e97101e55624fe29148459834ac5389522c88,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
