transactionHash,contextRows,proxyWallets,conditionIds
0xa881f12f8f5bbcc4d4e9443b4d64dced1917fce0c80e5f916e009135d0479e88,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x9511e9f2e71e64e48395522cabca1cd7c5ea68cb7b32f978adebe83ecffec708,1,0xc4086b708cd3a50880b7069add1a1a80000f4675,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xdd214d76ad8bafb13e2f47981dc0a3a15d43f05de92455cab81fd6c3855ceea4,1,0xdbc45db6ba0618e6182109854e8d19a77b4f4347,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xf8c1954370e16d6539124061de95fd0f202eec5664ea6856c75244c4ed64e4fd,1,0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x4e2d118ed127520447de3e6f95d90e310d99a87f9d1ee1c49ffc28a52f7fbba8,1,0x648bad7080caa1a9931b2774b20e87eca75900ba,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x507151a6126eee680d1ae79c581c14aa81a678872f78a7487e6c456bc1335245,1,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x73fab6713d68836586f276aafd6a984e0a0b0dded3df3fdfe6c977ae4e2e6431,1,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xb60688586fc91e6f6f8576022d23ff0a58edd4388ecc4f39e324c257bd1f8c82,1,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x723a8d7f127fbb5827c34616f04495cacd84722d1f39bf01ab1680bee05634fc,1,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xbbe89a2a65f8c209b8e47279594bbb1d9ffaf267e49bf191a0f391f2e1e69200,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xf1e1de5331811395d4071ac093f76771a76628a4b3f5eefd8ff6614556eeed80,1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x4edfb47c5ef1324fbe52c38ba26f9c2ff1c6cd260c18a4292d9d54c765e19cba,1,0x2fa801da750904fc348ccb9315a0b892377d4359,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xe07825bf6e01b83fd8c882ca56a056588fb37ad2b4222aec7a97c90ea36aebba,2,0x40604cb1f958c03bea0b18aa43e4cb0d62f33ec3; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xf89c3165a2569aa31aa6beff05ac2ae347d991157cd0a3cc001f9a6f28a07023,1,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xa384e311603512fbef9d684c2af7cbe39f212bb3b6e812336466614e740c6a2b,1,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x890b62045fe15bc0dd84f10f975e6a1d1426c3fff4eddf612cbe0a0ce59c9166,1,0x751a2b86cab503496efd325c8344e10159349ea1,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x1372010d3fa36f073a80004eac70f9c5861292e8dd993d4a8c1698d4ebc18023,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xd753b07cc55d8c54adfb9fab38227e2964ab989086207cadadeb36e372120648,1,0xa6f8220dfac596335d6b6719f2a2c7b451cc316d,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0x97fd1f92a68a29eba87c6a4cda23765edc98352fadd96f67b5548983b99af336,1,0x88edd092d799556111e57ff3b2107e24dd406cfb,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7
0xaf7c7ab9e05ee8d04f391058fb5dda98b04e8bf3e57000f85a792458556d3507,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x91a463def7667ceb40a43922d735e0c1afafe2c364a8b09f6571d1b89a0ccf17,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x5a23a1c73640380bb0e6913b414f7db358c3f844e4d467fd2d3f403ed503910d,1,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x4d64518736d2955a9ffeccb1034e61ad38a472bee8032ee1e44eb61e9f40d845,1,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x15b6b8db66af7362b7bd3d2a95670b6cfe73a0214063234f11d94bd6b30983c9,1,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x335e6cb0e1fc7784ffed472a6676dc77771ff876dd7cfa49025e8c5d90031b8a,3,0x2fa801da750904fc348ccb9315a0b892377d4359; 0x35e36faa4cf1488d120580302ed1d149be749188; 0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x9c1343bd33ef513e6eb227f34e263546edc43c0a0e5b54580982770a13f32443,2,0x1295269296e51cd28a3db85fa6728c0e352b5cfd; 0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0xbf27a055effdce61894d95df4c842ef8da022e687e9afe6829f853724180309e,1,0x1602856ef17c9b838b2f2b941b9c628cd5eecbf7,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x405b624212eecf64743113b5c79f8faf9bd173863b7f013b8f97a940d1f492b2,2,0x4ad6cadefae3c28f5b2caa32a99ebba3a614464c; 0x4c358f830cea4ee26a301ed0faef418bc149fcfe,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x6e95dd0f56903aa445a50e498679be2bc43f28aba691e07bf79b36e897190235,2,0x731a241767938bb23d1b2fac4c9cd2f3cea9033f; 0x751a2b86cab503496efd325c8344e10159349ea1,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x5e4ea9de1dfbddd30e994f54c2ed31f0f6b992c13c830f3dc39fb1054a75a266,1,0x7b676d5a6379855773d405fcf19b9aa577651b07,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0xe210508623fab032b3b3f399548f9e17251c9a87894cf418bd29e1fe19a3a434,1,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0x03208b6eb6f5132590a375b0ef709e7f9980ff167e860c4ceeb5f7012cff809d,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xf738827c2c47b2e5a1a49313d3dc157c09749413833ef6b68711b720f47367bb,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x88793dff41986c0bee4661976497d1808aeec0500feebf6d7c298488d4e88f5f,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xeebff48ee8458773138c96a4381f1c8d56c2dd58af3bea7d56d3881b1d6c6505,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x0f6e7602ed8ce66b7b732baa6af70e46e73d94c85aa7c733c0a005a54008d02e,1,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x14064e8763acee49b1f66abf5ba80ef11369bd2c573387dc27a92770d5ad5ea7,1,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0xdfe95cd97bb9e554f5b89ad7639a9ddfeb66f949081be7b80f1ff4064900a092,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x458529b0aea98794cc0ef29a0632220c57e21db3ca0ccff7e28c73dcc020c26a,1,0x2fa801da750904fc348ccb9315a0b892377d4359,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x71d0e2644e6f222d22f474ccad9f2aeca96e8bd6f930c23d18959ca5b43ec205,2,0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x0fdccb4d5b86836961fdc4ac09ae24f29c862fba55d4c003c7b0284840332c22,1,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x7d432832f3eee286acb1e5321ca1bfd7aacebef92b1e220df5511d4b02273942,1,0xd189664c5308903476f9f079820431e4fd7d06f4,0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x33e1691436af891ddcfc1640d4b499353242db537f50fed426cf8b7bea1f4a16,2,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a; 0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0x8c976ae2c0924b62a8ed5aebef22662fe484999cea61ec775b5581f6a1badac1,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0x618fa3ae162ff177d7cb7eba58ad8c215fd1a13a0d0f9885829e51faed9175f4,3,0x2fa801da750904fc348ccb9315a0b892377d4359; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0x2a4f9aa0a5ebdc2050227c72f690b0751c656cb7413d376397b341a82bd72706,1,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0x3c391b34dea1fc21adf3969cb572c0e60c256652f926bb3050609c68df182eec,2,0xd189664c5308903476f9f079820431e4fd7d06f4; 0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0xf780d706ddf33cbb9f1fefbf8d5f739fbf6b54c54ca7c82504f6f10bb6a48107,2,0x3670279e844f5005d7ed8cc37ca562eaadef34f9,0x6114a8a3f9ac214f48a7e20d169f1c7a5c84082cb6f7058ed9fe1137b11fd0e7; 0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x4850a18cde5b03dd8d49afc56bf1f16452b09aa20ed581fed2ff84349e9ed8fa,2,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a; 0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0xe19b6b487c091fe69a691d6e3a987e22c0abd6098b63a1f35e71e93586395b0c,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
