side,targetAddressLower,targetDisplayAddress,targetMeta,sourceAddressLower,toAddressLower,txHash,blockNum,blockInt,blockTimestampUTC,asset,category,value,rawContractAddress,rawValue,uniqueId
UMA,0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,roles=eventCaller;eventVoter;workbookStaker; ranks=60; votes=YES; votingPower=25225.47,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,0x718d4ba60e60ccc16b3f3940a95de2213d02a5a986aa28db6e6aafd527e6564f,0x5499bb5,88710069,2026-06-18T08:08:19.000Z,GEOD,erc20,11.98,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa6418286f92e0000,0x718d4ba60e60ccc16b3f3940a95de2213d02a5a986aa28db6e6aafd527e6564f:log:2299
UMA,0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,roles=eventCaller;eventVoter;workbookStaker; ranks=60; votes=YES; votingPower=25225.47,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,0x162f7e4e47016d1dde45c332ef4b54ea5c7ff20c15d8a1b16e423f9567d5af1a,0x548a213,88646163,2026-06-17T05:30:34.000Z,GEOD,erc20,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000,0x162f7e4e47016d1dde45c332ef4b54ea5c7ff20c15d8a1b16e423f9567d5af1a:log:1554
UMA,0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,roles=eventCaller;eventVoter;workbookStaker; ranks=60; votes=YES; votingPower=25225.47,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,0xa273295dde4c5361683d58cbe81a3f0be0740c0cae39dd5fdd9519772f0b6bb5,0x547c115,88588565,2026-06-16T05:30:33.000Z,GEOD,erc20,12.0,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa688906bd8b00000,0xa273295dde4c5361683d58cbe81a3f0be0740c0cae39dd5fdd9519772f0b6bb5:log:1515
UMA,0x126db3213b309a8d554594e591e614425ccac78e,0x126db3213b309A8D554594e591e614425cCaC78e,roles=eventCaller;eventVoter;workbookStaker; ranks=60; votes=YES; votingPower=25225.47,0x8fb9dd00b9a3d893da96d444817d0b77330d5478,0x126db3213b309a8d554594e591e614425ccac78e,0x701f9ba32c4272dd987e564a9e0f747ac3713219a9639eb5972493e3f2dc0d45,0x546e015,88530965,2026-06-15T05:30:33.000Z,GEOD,erc20,11.99,0xac0f66379a6d7801d7726d5a943356a172549adb,0xa665097968ef0000,0x701f9ba32c4272dd987e564a9e0f747ac3713219a9639eb5972493e3f2dc0d45:log:5926
