roundId,identifier,requestTime,ancillaryHashRawVoteRevealed,count,yesCount,noCount,otherCount,yesTokensUMA,noTokensUMA,otherTokensUMA,exampleTxHash,exampleBlockNumber,exampleLogIndex,containsTargetClues,ancillaryText,ancillaryHex
10310,YES_OR_NO_QUERY,1781479263,0x383362927d15d8c0d94cd61f9a7df24117756606b9d6aacdec340ae0162c3c64,562,559,0,3,18678798.585096065,0,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1268,False,"ancillaryDataHash:f5ea06b88ee59116d3af4bfab824c5bbea028e11715918d207640e1ef3ab35fd,childBlockNumber:88516659,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a663565613036623838656535393131366433616634626661623832346335626265613032386531313731353931386432303736343065316566336162333566642c6368696c64426c6f636b4e756d6265723a38383531363635392c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781475979,0x63e34c8ac694b226e1d32f688e146158a2db23ee3381919847241fed07ca3577,562,545,17,0,18351431.738853198,327790.18178915547,0,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1277,False,"ancillaryDataHash:febefea9c50649e612e994415e1aade270fc67155c424bcef61618f5c5645be6,childBlockNumber:88514721,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a666562656665613963353036343965363132653939343431356531616164653237306663363731353563343234626365663631363138663563353634356265362c6368696c64426c6f636b4e756d6265723a38383531343732312c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781474764,0xc48c2f32a495784a09d9c7b3bb7d256793d71b56504fc2770e3786a1c4bf88ac,562,472,22,68,16902962.321525447,426561.9774581573,1349972.3253851745,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1279,False,"ancillaryDataHash:febefea9c50649e612e994415e1aade270fc67155c424bcef61618f5c5645be6,childBlockNumber:88513457,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a666562656665613963353036343965363132653939343431356531616164653237306663363731353563343234626365663631363138663563353634356265362c6368696c64426c6f636b4e756d6265723a38383531333435372c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781408031,0x5f57e0360a38149ccf234bf7476ec9e6e30c971231a2cf2f42959ab692ad3373,561,561,0,0,18679392.672937125,0,0,0x8a39aecb179a5b5ef3311b290fab0fb9e4973c0f82dc316e4f85e0e398d971a0,25333551,1526,False,"ancillaryDataHash:e42173a4409152ff8c0ec355d453d14542e1ca21d967f3b84f18afdc216b2b1b,childBlockNumber:88469000,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a653432313733613434303931353266663863306563333535643435336431343534326531636132316439363766336238346631386166646332313662326231622c6368696c64426c6f636b4e756d6265723a38383436393030302c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781396688,0xb1c313776e2f732dc76921ba8c417d089a1923e8c7f0072e075c0b8ac4821efa,560,560,0,0,18679392.633924298,0,0,0x8a39aecb179a5b5ef3311b290fab0fb9e4973c0f82dc316e4f85e0e398d971a0,25333551,1525,False,"ancillaryDataHash:10ef2419a8669e9562581e9621ff598d8e03ca8db176c12c0e22cb63d2ff63b4,childBlockNumber:88464047,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a313065663234313961383636396539353632353831653936323166663539386438653033636138646231373663313263306532326362363364326666363362342c6368696c64426c6f636b4e756d6265723a38383436343034372c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781476126,0x76b5a053d3be4013a14185df907af2b8d5a920c35191d1f5e2bdc9f9e8836820,560,557,0,3,18678798.470180843,0,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1275,False,"ancillaryDataHash:2b60ce75c55d61a29e894a5a7e73542276d28dcd73ed326ce108dd687c500ea5,childBlockNumber:88515600,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a326236306365373563353564363161323965383934613561376537333534323237366432386463643733656433323663653130386464363837633530306561352c6368696c64426c6f636b4e756d6265723a38383531353630302c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781478555,0x0b990efefb4f5c05167db334ab78c362a2927304c81bf89bfc5b81d8409bec3f,560,557,0,3,18678798.44630297,0,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1273,False,"ancillaryDataHash:2b60ce75c55d61a29e894a5a7e73542276d28dcd73ed326ce108dd687c500ea5,childBlockNumber:88515918,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a326236306365373563353564363161323965383934613561376537333534323237366432386463643733656433323663653130386464363837633530306561352c6368696c64426c6f636b4e756d6265723a38383531353931382c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781492250,0xd9f25c6f2c3105109c1fc355914920f1e7c5e6b26f9fe155aff2fc44885b281a,560,557,3,0,18678577.916835655,814.6883094587513,0,0x8a39aecb179a5b5ef3311b290fab0fb9e4973c0f82dc316e4f85e0e398d971a0,25333551,1511,False,"ancillaryDataHash:127301f0d8eacc472a38e2b0ad3fd64f699d49d0b22c3f6c038d089133f90e14,childBlockNumber:88525286,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a313237333031663064386561636334373261333865326230616433666436346636393964343964306232326333663663303338643038393133336639306531342c6368696c64426c6f636b4e756d6265723a38383532353238362c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781475486,0xd0f8e24e5d820e523b11b39c89b9ed0dbc82e64e0e97d1debe9e1257ce063d8b,560,553,1,6,18541582.543499004,1208.8118576014922,136701.09191796838,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1278,False,"ancillaryDataHash:a31d157ae87e6e69859aa3f5260249ca8b246851149ccb7341a959d3fcdb0530,childBlockNumber:88513733,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a613331643135376165383765366536393835396161336635323630323439636138623234363835313134396363623733343161393539643366636462303533302c6368696c64426c6f636b4e756d6265723a38383531333733332c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781475675,0x3f9b03c0de89f72b13f03f43cc3881eca483de9e20bdc7d2333fbcc250ebf8be,559,556,0,3,18678798.41358027,0,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1276,False,"ancillaryDataHash:a31d157ae87e6e69859aa3f5260249ca8b246851149ccb7341a959d3fcdb0530,childBlockNumber:88515562,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a613331643135376165383765366536393835396161336635323630323439636138623234363835313134396363623733343161393539643366636462303533302c6368696c64426c6f636b4e756d6265723a38383531353536322c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781479060,0x1b3af5809c4e86af5d014c1fcb4c369dfda24ae65546651c031807ab0c657d81,559,556,0,3,18678798.40147181,0,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1270,False,"ancillaryDataHash:4ea40ca1bf65ba1940d01e2be8ecee4d9a3962d4fcab99f12736cfc33893d15f,childBlockNumber:88516346,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a346561343063613162663635626131393430643031653262653865636565346439613339363264346663616239396631323733366366633333383933643135662c6368696c64426c6f636b4e756d6265723a38383531363334362c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781476044,0xb22578ce84b888b533749f9f8bfd60efeafbe618a91e31503a3b107ef63a8d60,559,555,1,3,18678577.785403248,220.62288269996262,689.0654267587888,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1272,False,"ancillaryDataHash:4ea40ca1bf65ba1940d01e2be8ecee4d9a3962d4fcab99f12736cfc33893d15f,childBlockNumber:88516018,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a346561343063613162663635626131393430643031653262653865636565346439613339363264346663616239396631323733366366633333383933643135662c6368696c64426c6f636b4e756d6265723a38383531363031382c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
10310,YES_OR_NO_QUERY,1781493306,0x352e96b4667f12f9462672a751d92a1fc37f706628767f62d77138851f2aabea,559,558,0,1,18678355.537254795,0,1037.0286531197105,0x6bdb6b027396e40d3767125b1676db77597f55a3df4b4df616421f8253712348,25333551,450,False,"ancillaryDataHash:2041bf5bdc398744f0b5c5abdf3452fb12b83e5dbf939373fdad42ebbfa0f5b5,childBlockNumber:88525668,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137",0x616e63696c6c61727944617461486173683a323034316266356264633339383734346630623563356162646633343532666231326238336535646266393339333733666461643432656262666130663562352c6368696c64426c6f636b4e756d6265723a38383532353636382c6368696c644f7261636c653a616336303335336135343837336334343631303132313638323961366139386364626263336633642c6368696c645265717565737465723a326330333637613964623233316464656264383861393462346636343631613665343763353862312c6368696c64436861696e49643a313337
