rawDvmAncillaryHash,childAncillaryDataHash,childBlockNumber,childOracle,childRequester,childChainId,ancillaryDataHash,requestTime,count,yesCount,noCount,otherCount,yesTokensUMA,noTokensUMA,otherTokensUMA,exampleTxHash,exampleBlockNumber,exampleLogIndex,exampleDecodedVote,matchesWorkbookShortHash,textLooksLikeTargetMarket,exampleAncillaryText
,,,,,,0x63e34c8ac694b226e1d32f688e146158a2db23ee3381919847241fed07ca3577,1781475979,562,545,17,0,18351431.738853198,327790.18178915547,0,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1277,NO,False,False,"ancillaryDataHash:febefea9c50649e612e994415e1aade270fc67155c424bcef61618f5c5645be6,childBlockNumber:88514721,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137"
,,,,,,0xc48c2f32a495784a09d9c7b3bb7d256793d71b56504fc2770e3786a1c4bf88ac,1781474764,562,472,22,68,16902962.321525447,426561.9774581573,1349972.3253851745,0xe0aa6a485616f82c166672705e23cc2a8887da0cda637b82a902ca7e48916738,25333551,1279,NO,False,False,"ancillaryDataHash:febefea9c50649e612e994415e1aade270fc67155c424bcef61618f5c5645be6,childBlockNumber:88513457,childOracle:ac60353a54873c446101216829a6a98cdbbc3f3d,childRequester:2c0367a9db231ddebd88a94b4f6461a6e47c58b1,childChainId:137"
