contextWallet,txHash,blockNumber,blockTimestampUTC,from,to,contractAddress,tokenId,rawAmount,amountAssuming6Decimals
0xebc6257296364265b17cB6e2D605C66D14fDd45f,0xfee5b323b49cefe5aad6cf0c770df390cfe347cfc22e9f53ee1bf07e18d9eac5,88676509,2026-06-17T18:09:13.000Z,0x24c8CF69a0e0A17EEE21f69d29752BfA32e823e1,0xebc6257296364265b17cB6e2D605C66D14fDd45f,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,104718292808309433767402444061650910790437726449955521731268760928480423099204,718830000,718.83
0x4099dB7F2D394449cCf89C8d42260eCAf1d79Fb8,0x3db316f591d57a1818fc46c9cf27c65faf8e16e79e2bdfcc62c5cd7fa5c8494b,88645544,2026-06-17T05:15:05.000Z,0x7b676D5a6379855773D405fcF19b9AA577651b07,0x4099dB7F2D394449cCf89C8d42260eCAf1d79Fb8,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,5904694069529905826680225678119990013628860098514322777023141327768111791078,674550000,674.55
0x5BB0De4E97698184eaD80C80cb17A26cD6F6814B,0x23a6febd8a754e109270650c70a5ef2b0ef71b66629a9ae3cae8cc8f383740f3,88588397,2026-06-16T05:26:21.000Z,0xdbc45DB6Ba0618e6182109854E8D19a77b4f4347,0x5BB0De4E97698184eaD80C80cb17A26cD6F6814B,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,64249180118275152401377807339590798359778131045793239076373429716258343036749,67720000,67.72
0x5BB0De4E97698184eaD80C80cb17A26cD6F6814B,0x43ba306c67d1159568382ee30bf568edadad03cc31bb89de987b969512ed6906,88588400,2026-06-16T05:26:25.000Z,0xE90FE094286107ab146138930fb878869702131e,0x5BB0De4E97698184eaD80C80cb17A26cD6F6814B,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,64249180118275152401377807339590798359778131045793239076373429716258343036749,19220000,19.22
0x4099dB7F2D394449cCf89C8d42260eCAf1d79Fb8,0x7d6243a8fdf6b3e61af90e6e653e81c6249f6eb27d0227e00f202b49d5e0c961,88635781,2026-06-17T01:10:58.000Z,0x54498e4c40b17261479AeAEEddf9CC37bd46992b,0x4099dB7F2D394449cCf89C8d42260eCAf1d79Fb8,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,31867385211987925701696042012772036156561382644688734856312468506547392739862,18130000,18.13
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x61c2eec8804ebcceaa59a8df307b812ee56886c8322f9148358f1ab3fec6ed68,88635085,2026-06-17T00:53:34.000Z,0x54498e4c40b17261479AeAEEddf9CC37bd46992b,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,31867385211987925701696042012772036156561382644688734856312468506547392739862,9070000,9.07
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x88c58b06309dc6c4624a47f9f411ed77b124dbbfd0a417dc343362aaa7ea335a,88700337,2026-06-18T04:05:01.000Z,0xb8A47d387beb9Ec7fd4BaaEC05396E9677cEa13B,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,35922669791796711966528124729517498456973364720735377527982461642886162753037,6070000,6.07
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0xd4ee206a7ec73c3ce1d38e7a6daef14717503992f4fcc72dc880baae8f481a18,88557790,2026-06-15T16:41:10.000Z,0xE90FE094286107ab146138930fb878869702131e,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,62615244151326502594357917056983333482460956596991248871413253808974023938686,5000000,5.0
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0xe68f4c4791c60370de5834bc389aa120d19b738997168fa912800869e1d4d41b,88557790,2026-06-15T16:41:10.000Z,0xE90FE094286107ab146138930fb878869702131e,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,62615244151326502594357917056983333482460956596991248871413253808974023938686,5000000,5.0
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0xebb1bdc09e60250b9a39987bae5ea15a3f69015a1d87a5007bc12e92b58a1d2c,88557791,2026-06-15T16:41:12.000Z,0xE90FE094286107ab146138930fb878869702131e,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,62615244151326502594357917056983333482460956596991248871413253808974023938686,5000000,5.0
0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x3ee28c8217dfb99b51d13517bc0cf98d2a0f0673c03958158605fc88f281af7c,88557793,2026-06-15T16:41:15.000Z,0xE90FE094286107ab146138930fb878869702131e,0xEd107a85a4585A381E48C7F7Ca4144909e7Dd2E5,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,62615244151326502594357917056983333482460956596991248871413253808974023938686,5000000,5.0
0x1295269296E51cD28a3dB85fA6728c0e352b5cFD,0x555d9525d23d8783e82fe81e77b62d90f21daaca2e206fa4759cfa3abf828921,88564456,2026-06-15T19:27:49.000Z,0x54498e4c40b17261479AeAEEddf9CC37bd46992b,0x1295269296E51cD28a3dB85fA6728c0e352b5cFD,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,62615244151326502594357917056983333482460956596991248871413253808974023938686,2790000,2.79
0x44c1DfE43260C94Ed4F1D00dE2e1f80Fb113Ebc1,0x1be1a0b165439459e98bd8617e6837f6966b57c2df1b9a5ec57c095c8576b1bd,88681952,2026-06-17T20:25:23.000Z,0x54498e4c40b17261479AeAEEddf9CC37bd46992b,0x44c1DfE43260C94Ed4F1D00dE2e1f80Fb113Ebc1,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,92488220621909882531791113518945145991276504934055990507865455181231063950386,750000,0.75
0x44c1DfE43260C94Ed4F1D00dE2e1f80Fb113Ebc1,0x7ad554c3291f35868deabc547bc10d9ff06103c583602f148a3c0dfa3d3bff60,88681955,2026-06-17T20:25:28.000Z,0x54498e4c40b17261479AeAEEddf9CC37bd46992b,0x44c1DfE43260C94Ed4F1D00dE2e1f80Fb113Ebc1,0x4D97DCd97eC945f40cF65F87097ACe5EA0476045,92488220621909882531791113518945145991276504934055990507865455181231063950386,480000,0.48
